45,"G145","G",5,12,"10:30:00.000000","19:15:00.000000",525
46,"D146","D",12,5,"07:00:00.000000","15:45:00.000000",525
47,"G147","G",1,20,"09:15:00.000000","17:45:00.000000",510
48,"D148","D",20,1,"06:45:00.000000","15:15:00.000000",510
49,"G149","G",3,21,"11:00:00.000000","17:30:00.000000",390
50,"D150","D",21,3,"08:30:00.000000","15:00:00.000000",390
51,"G151","G",5,22,"07:45:00.000000","14:15:00.000000",390
52,"D152","D",22,5,"14:30:00.000000","21:00:00.000000",390
53,"G153","G",1,23,"10:15:00.000000","13:45:00.000000",210
54,"D154","D",23,1,"14:00:00.000000","17:30:00.000000",210
55,"G155","G",3,24,"08:30:00.000000","12:00:00.000000",210
56,"D156","D",24,3,"12:30:00.000000","16:00:00.000000",210
57,"G157","G",5,25,"09:45:00.000000","15:15:00.000000",330
58,"D158","D",25,5,"07:15:00.000000","12:45:00.000000",330
59,"G159","G",1,26,"11:30:00.000000","18:00:00.000000",390
60,"D160","D",26,1,"08:00:00.000000","14:30:00.000000",390
61,"K201","K",1,11,"21:30:00.000000","10:15:00.000000",765
62,"T202","T",3,7,"08:45:00.000000","18:30:00.000000",585
63,"Z203","Z",5,12,"20:00:00.000000","08:30:00.000000",750
64,"K204","K",7,1,"22:15:00.000000","11:45:00.000000",810
65,"T205","T",8,3,"09:30:00.000000","17:15:00.000000",465
66,"Z206","Z",11,5,"21:45:00.000000","10:30:00.000000",765
67,"K207","K",12,1,"19:30:00.000000","09:15:00.000000",825
68,"T208","T",4,9,"07:15:00.000000","11:45:00.000000",270
69,"Z209","Z",9,4,"18:30:00.000000","23:00:00.000000",270
70,"K210","K",5,19,"22:00:00.000000","06:30:00.000000",510
71,"T211","T",19,5,"08:30:00.000000","17:00:00.000000",510
72,"Z212","Z",1,12,"20:15:00.000000","09:00:00.000000",765
73,"K213","K",12,3,"19:45:00.000000","06:30:00.000000",645
74,"T214","T",3,11,"08:00:00.000000","19:15:00.000000",675
75,"Z215","Z",11,3,"21:30:00.000000","08:45:00.000000",675
76,"K216","K",5,12,"22:15:00.000000","10:00:00.000000",705
77,"T217","T",12,5,"09:45:00.000000","21:30:00.000000",705
78,"Z218","Z",1,8,"20:30:00.000000","05:00:00.000000",510
79,"K219","K",8,1,"22:45:00.000000","07:15:00.000000",510
80,"T220","T",3,7,"07:30:00.000000","17:15:00.000000",585
81,"Z221","Z",7,3,"19:00:00.000000","04:45:00.000000",585
82,"K222","K",5,11,"21:15:00.000000","10:00:00.000000",765
83,"T223","T",11,5,"08:45:00.000000","21:30:00.000000",765
84,"Z224","Z",1,19,"20:00:00.000000","06:30:00.000000",630
85,"K225","K",19,1,"22:15:00.000000","08:45:00.000000",630
86,"T226","T",3,12,"09:00:00.000000","20:45:00.000000",705
87,"Z227","Z",12,3,"19:30:00.000000","07:15:00.000000",705
88,"K228","K",5,7,"22:45:00.000000","07:15:00.000000",510
89,"T229","T",7,5,"08:15:00.000000","16:45:00.000000",510
90,"Z230","Z",1,9,"21:00:00.000000","03:30:00.000000",390
91,"K231","K",9,1,"23:15:00.000000","05:45:00.000000",390
92,"T232","T",3,19,"07:45:00.000000","15:15:00.000000",450
93,"Z233","Z",19,3,"18:30:00.000000","02:00:00.000000",450
94,"K234","K",5,8,"22:00:00.000000","06:30:00.000000",510
95,"T235","T",8,5,"08:30:00.000000","17:00:00.000000",510
96,"Z236","Z",1,17,"20:15:00.000000","01:45:00.000000",330
97,"K237","K",17,1,"23:30:00.000000","05:00:00.000000",330
98,"T238","T",3,11,"09:15:00.000000","20:30:00.000000",675
99,"Z239","Z",11,3,"20:45:00.000000","08:00:00.000000",675
100,"K240","K",5,12,"22:30:00.000000","10:15:00.000000",705
